Player,Romanized Name,Nationality,Born,Status,Role,Team,Signature Heroes,Game Appearances,Approx. Total Winnings
MAKA,Oh Eun-seok,South Korea,"August 30, 2004 (age 20)",Active,Support,All Gamers Global,"Zenyatta, Ana, Baptiste",Overwatch Overwatch 2,"$9,164"
Hry,,Japan,"July 31, 2004 (age 20)",Active,DPS,Inferno,"Widowmaker, Cassidy, Ashe",Overwatch 2,"$1,367"
Ado,Chon Gi-hyeon,South Korea,"November 16, 1999 (age 25)",Active,DPS Coach,ONSIDE GAMING,"Genji, Tracer, Pharah",Overwatch Overwatch 2,"$16,458"
Ewan,,United States,,Active,Support,,,Overwatch Overwatch 2,"$1,022"
Xzahyo,,,,,,,,,
Kellex,,Denmark,"February  9, 1999 (age 26)",Active,Support,Al Qadsiah,"Lúcio, Mercy, Baptiste",Overwatch Overwatch 2,"$115,750"
Architect,Park Min-ho,South Korea,"February 26, 2000 (age 25)",Active,DPS Flex,,"Genji, Pharah, Tracer",Overwatch Overwatch 2,"$162,341"
Insane,Song Chunhui,China,"February 21, 2006 (age 19)",Active,DPS,Milk Tea,"Cassidy, Tracer, Ashe",,"$11,270"
SKAI,,Romania,"May 19, 2001 (age 24)",Active,Support,The Ultimates,"Baptiste, Kiriko, Ana",Overwatch Overwatch 2,"$50,536"
Jasm1ne,Jeong Jong-min,South Korea,"September 19, 2003 (age 21)",Active,Tank,All Gamers Global,"D.Va, Zarya, Sigma",Overwatch Overwatch 2,"$7,063"
Bilideng,Chen Cheng,China,,Active,Tank,Team CC,"D.Va, Sigma, Hazard",,"$4,064"
slowdive,Majed Alghamdi,Saudi Arabia,,Active,DPS,Team Vision,"Ashe, Widowmaker, Tracer",Overwatch 2,"$7,823"
nuka,Nukada Ryunosuke,Japan,"April 20, 1996 (age 29)",Retired,Support,,"Lúcio, Brigitte, Kiriko",Overwatch 2,$283
Genius91,Chen Shuhan,China,,Active,Manager Tank,Team XX,"Sigma, D.Va, Mercy",,$610
Attack,Kim Jun-hwa,South Korea,"May  1, 2004 (age 21)",Active,Tank,ONSIDE GAMING,"D.Va, Sigma, Zarya",Overwatch Overwatch 2,"$28,497"
decade,,,,,,,,,
Twe12e,Huang Canmei,China,"April 22, 2004 (age 21)",Active,DPS,,"Ashe, Widowmaker, Cassidy",,"$4,398"
Viper,Lee Jung-woong,South Korea,"June 30, 2005 (age 20)",Active,DPS,T1,"Genji, Tracer, Mei",Overwatch Overwatch 2,"$25,796"
meruna,,Japan,,Active,DPS,Nyam Gaming,"Sojourn, Tracer, Widowmaker",Overwatch 2,$376
AOY,Abdulrahman Yousef,Saudi Arabia,"January 18, 2003 (age 22)",Active,Support Tank,,"Lúcio, Ana, Baptiste",Overwatch Overwatch 2,"$12,761"
knife,Lee Seon-woo,South Korea,"July 21, 2004 (age 21)",Active,DPS,Team Liquid,"Tracer, Echo, Sojourn",Overwatch Overwatch 2,"$19,705"
GaaRa,Mustafa Alabdulsalam,Saudi Arabia,"April  8, 2002 (age 23)",Active,Support,Gen.G Esports,"Lúcio, Brigitte, Mercy",Overwatch Overwatch 2,"$20,735"
JBJ,,,,,,,,,
Ryujehong,Ryu Je-hong,South Korea,"September  5, 1991 (age 33)",Active,Support Streamer,Old Ocean,"Ana, Zenyatta, Lifeweaver",Overwatch Overwatch 2,"$91,901"
Sauna,,Finland,"October  3, 2004 (age 20)",Inactive,DPS,SrPeakCheck,"Tracer, Pharah, Genji",Overwatch Overwatch 2,"$46,960"
Despair,Choy Yu-ting,Hong Kong,"June 12, 2003 (age 22)",Active,DPS,MENG GONG 2,"Pharah, Echo, Tracer",Overwatch Overwatch 2,"$1,542"
pOv,Wang Mengyu,China,"February 14, 2002 (age 23)",Active,Support,Home E,"Mercy, Brigitte, Lúcio",,"$4,184"
K4ne,,,,,,,,,
Ken,,Belgium,,Active,DPS,Team Peps,"Ashe, Echo, Junkrat",Overwatch Overwatch 2,"$12,442"
Dumbbell,Hwang Tae-san,South Korea,"July  9, 2006 (age 19)",Active,Tank Support,Cold Metal,"Sigma, D.Va, Ana",Overwatch 2,"$1,165"
Love,,Sweden,"July 25, 2003 (age 22)",Active,DPS,ZoKorp Esports,"Widowmaker, Tracer, Ashe",Overwatch Overwatch 2,"$13,629"
Fone,,United States,"March  7, 2005 (age 20)",Active,DPS Tank,University of Texas at Dallas ExO: Sakura,"Reaper, Mei, Sombra",Overwatch Overwatch 2,"$2,364"
Proud,Hong Suk-jin,South Korea,"November 12, 2006 (age 18)",Active,DPS,T1,"Ashe, Cassidy, Widowmaker",Overwatch Overwatch 2,"$14,744"
FARMER,Kim Yea-han,South Korea,"December  9, 2006 (age 18)",Active,Tank,,,Overwatch 2,"$1,627"
fya,Fan Zi,China,"June 14, 1997 (age 28)",Active,Coach Support,ZONES,"Mercy, Lúcio, Zenyatta",,"$20,186"
AMANE,,,,,,,,,
Aniyun,Yunhee Chi,United States South Korea China,"June  8, 2004 (age 21)",Active,Support,Al Qadsiah Corals,"Baptiste, Ana, Kiriko",Overwatch Overwatch 2,"$8,879"
Langley,,Japan,,Active,Support DPS,,"Baptiste, Kiriko",Overwatch 2,$671
Leonopteryx,Keisuke Yamamoto,Japan,"February 10, 2002 (age 23)",Active,Tank,,"Winston, Orisa, Junker Queen",Overwatch Overwatch 2,"$2,538"
MER1T,Choi Tae-min,South Korea,"June 21, 2002 (age 23)",Active,DPS,Team Falcons,"Sojourn, Widowmaker, Ashe",Overwatch Overwatch 2,"$417,085"
Astro,,United States,,Retired,Manager,,,Overwatch 2,
KIVIS,Jeong Yeon-woo,South Korea,"April 27, 2004 (age 21)",Active,Support,,"Ana, Kiriko, Zenyatta",Overwatch 2,"$1,435"
lumi,,Singapore,"February  7, 2002 (age 23)",Retired,Tank Support,,"D.Va, Junker Queen, Lúcio",Overwatch Overwatch 2,"$6,051"
Proxy,Moon Seo-jin,South Korea,"November 14, 2006 (age 18)",Active,Tank SUP,,"Ana, Zenyatta, Zarya",Overwatch 2,"$1,068"
dra,,,,,,,,,
seeker,,Canada United States,"August  7, 2004 (age 20)",Active,DPS,Spacestation Gaming,"Sojourn, Widowmaker, Bastion",Overwatch Overwatch 2,"$35,853"
Lukemino,,United States,"February 12, 2003 (age 22)",Active,Support,Sign Esports NTMR,"Baptiste, Lúcio, Brigitte",Overwatch Overwatch 2,"$47,453"
winter,Wang Feiyu,China,,Retired,DPS,,"Tracer, Genji, Pharah",,"$40,272"
elva,Song Hyuk-jun,South Korea,"March 26, 2003 (age 22)",Active,DPS,,"Genji, Tracer, Echo",Overwatch Overwatch 2,"$14,886"
s9mm,,United States,"September 11, 2002 (age 22)",Active,DPS,Supernova Winthrop University,"Echo, Genji, Hanzo",Overwatch Overwatch 2,"$76,933"
WGYM,Fynn Corrigan,Japan Canada,"January 12, 2004 (age 21)",Active,Support,Please Not Hero Ban,"Lúcio, Brigitte",Overwatch 2,"$1,400"
JayCo,Tanavit Kotcharin,Thailand,"November 16, 2004 (age 20)",Active,DPS,I LOVE YOU,"Genji, Pharah, Tracer",Overwatch Overwatch 2,"$4,382"
PaLee,Panachai Prathomchandee,Thailand,"November  4, 2004 (age 20)",Active,Support,,"Ana, Kiriko, Lúcio",Overwatch Overwatch 2,"$15,832"
ZEST,Kim Hyun-woo,South Korea,"June  5, 2003 (age 22)",Active,DPS,T1,"Genji, Tracer, Pharah",Overwatch Overwatch 2,"$52,959"
Maybe,,United Kingdom,"June 25, 1990 (age 35)",Inactive,Coach,,,,
ARLLY,,,,,,,,,
Cjay,,United States,"September  2, 2003 (age 21)",Active,Support Coach,Spacestation Gaming Northwood University Blue DhillKucks,"Baptiste, Zenyatta, Ana",Overwatch Overwatch 2,"$46,387"
Junbin,Park Jun-bin,South Korea,"October  5, 2005 (age 19)",Active,Tank,Crazy Raccoon,"Wrecking Ball, Winston, Orisa",Overwatch Overwatch 2,"$167,293"
D0D0,Hyeon Jae-woong,South Korea,"August 20, 2005 (age 19)",Active,DPS,Nyam Gaming,"Genji, Echo, Tracer",Overwatch 2,$604
KL1,,,,,,,,,
1zU,,,,,,,,,
