Stage,Match,Date,MVP,Map Result
Unknown,Lazuli (4) vs Inferno (1),"February 18, 2025 - 18:00 KST",Soulsay,"Control: 2 vs 0 (Lijiang Tower)
Flashpoint: 2 vs 3 (New Junk City)
Escort: 1 vs 0 (Rialto)
Hybrid: 3 vs 2 (King's Row)
Push: 106.03m vs 72.88m (Colosseo)"
Unknown,VARREL (4) vs Aplomb Tiger (0),"February 19, 2025 - 18:00 KST",qki,"Control: 2 vs 0 (Samoa)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 2 vs 1 (Havana)
Hybrid: 2 vs 1 (King's Row)"
Unknown,Lazuli (3) vs VARREL (4),"February 24, 2025 - 18:00 KST",qki,"Control: 2 vs 1 (Samoa)
Push: 87.16m vs 119.87m (New Queen Street)
Escort: 1 vs 0 (Rialto)
Flashpoint: 1 vs 3 (Suravasa)
Hybrid: 4 vs 5 (Numbani)
Control: 2 vs 1 (Lijiang Tower)
Push: 91.65m vs 117.64m (Esperança)"
Unknown,Nyam Gaming (4) vs INSOMNIA (1),"February 18, 2025 - 20:15 KST",Scarlett,"Control: 2 vs 0 (Lijiang Tower)
Escort: 2 vs 3 (Havana)
Flashpoint: 3 vs 0 (Suravasa)
Push: 142.41m vs 53.55m (Esperança)
Hybrid: 3 vs 1 (King's Row)"
Unknown,Please Not Hero Ban (0) vs VortexWolf (4),"February 19, 2025 - 19:45 KST",Rrmy,"Control: 0 vs 2 (Lijiang Tower)
Flashpoint: 0 vs 3 (Suravasa)
Push: 70.82m vs 109.35m (Colosseo)
Escort: 2 vs 3 (Rialto)"
Unknown,Nyam Gaming (1) vs VortexWolf (4),"February 24, 2025 - 22:50 KST",Edison,"Control: 0 vs 2 (Samoa)
Push: 70.08m vs 106.02m (Colosseo)
Flashpoint: 1 vs 3 (New Junk City)
Hybrid: 5 vs 4 (King's Row)
Escort: 1 vs 2 (Route 66)"
Unknown,VARREL (4) vs VortexWolf (2),"March 2, 2025 - 14:00 KST",KSG,"Control: 2 vs 0 (Lijiang Tower)
Push: 62.37m vs 63.87m (Colosseo)
Flashpoint: 3 vs 0 (Suravasa)
Hybrid: 1 vs 0 (Paraiso)
Escort: 1 vs 2 (Rialto)
Escort: 3 vs 2 (Route 66)"
Unknown Group,VW (VW) vs INF (3),"January 27, 2025 - 18:00 KST",Edison,"Control: 2 vs 0 (Lijiang Tower)
Escort: 3 vs 1 (Watchpoint: Gibraltar)
Hybrid: 3 vs 2 (Numbani)"
Unknown Group,INS (INS) vs AT (0),"January 27, 2025 - 19:40 KST",FodCarry,"Control: 1 vs 2 (Oasis)
Flashpoint: 2 vs 3 (Suravasa)
Escort: 3 vs 4 (Watchpoint: Gibraltar)"
Unknown Group,NG (NG) vs VL (3),"January 27, 2025 - 21:20 KST",Scarlett,"Control: 2 vs 1 (Lijiang Tower)
Escort: 2 vs 3 (Watchpoint: Gibraltar)
Hybrid: 4 vs 3 (King's Row)
Push: 95.34m vs 95.35m (Esperança)
Flashpoint: 3 vs 0 (Suravasa)"
Unknown Group,HYB (HYB) vs NG (0),"January 28, 2025 - 18:00 KST",DOX,"Control: 0 vs 2 (Antarctic Peninsula)
Flashpoint: 0 vs 3 (New Junk City)
Hybrid: 1 vs 3 (Paraiso)"
Unknown Group,UC (UC) vs LAZ (0),"January 28, 2025 - 19:20 KST",SeungAn,"Control: 0 vs 2 (Oasis)
Flashpoint: 0 vs 3 (New Junk City)
Push: 0m vs 139.62m (Colosseo)"
Unknown Group,JKOT (JKOT) vs VW (0),"January 28, 2025 - 20:20 KST",Kalios,"Control: 0 vs 2 (Samoa)
Escort: 1 vs 3 (Watchpoint: Gibraltar)
Flashpoint: 0 vs 3 (Suravasa)"
Unknown Group,JKOT (JKOT) vs INF (1),"January 29, 2025 - 18:00 KST",selfish,"Control: 0 vs 2 (Antarctic Peninsula)
Escort: 0 vs 3 (Watchpoint: Gibraltar)
Flashpoint: 3 vs 2 (Suravasa)
Hybrid: 0 vs 1 (Numbani)"
Unknown Group,INS (INS) vs LAZ (0),"January 29, 2025 - 19:30 KST",NewJ,"Control: 0 vs 2 (Lijiang Tower)
Push: 50.55m vs 132.91m (Esperança)
Escort: 2 vs 3 (Havana)"
