Stage,Match,Date,MVP,Map Result
Lower Bracket Semifinal,Crazy Raccoon (4) vs ZETA DIVISION (1),"March 14, 2025 - 17:30 KST",Junbin,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 2 vs 3 (King's Row)
Flashpoint: 3 vs 2 (Suravasa)
Push: 142.41 vs 53.55 (Esperança)
Escort: 2 vs 1 (Watchpoint: Gibraltar)"
Lower Bracket Semifinal,Team Falcons (4) vs WAY (0),"March 14, 2025 - 20:10 KST",Stalk3r,"Control: 2 vs 0 (Lijiang Tower)
Push: 128.11m vs 55.39m (New Queen Street)
Hybrid: 1 vs 0 (Blizzard World)
Flashpoint: 3 vs 1 (Suravasa)"
Lower Bracket Semifinal,Crazy Raccoon (4) vs Team Falcons (0),"March 15, 2025 - 17:20 KST",HeeSang,"Control: 2 vs 0 (Oasis)
Flashpoint: 3 vs 1 (Suravasa)
Hybrid: 2 vs 1 (King's Row)
Push: 78.63m vs 50.34m (Esperança)"
Lower Bracket Semifinal,ZETA DIVISION (4) vs WAY (0),"March 15, 2025 - 19:10 KST",Pelican,"Control: 2 vs 1 (Oasis)
Flashpoint: 3 vs 0 (Suravasa)
Hybrid: 1 vs 0 (Blizzard World)
Escort: 3 vs 2 (Havana)"
Lower Bracket Semifinal,Team Falcons (4) vs ZETA DIVISION (0),"March 16, 2025 - 17:10 KST",Stalk3r,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 3 vs 2 (King's Row)
Push: 142.41m vs 0m (Esperanca)
Escort: 1 vs 0 (Watchpoint: Gibraltar)"
Lower Bracket Semifinal,Crazy Raccoon (2) vs Team Falcons (4),"March 16, 2025 - 19:35 KST",Hanbin,"Control: 1 vs 2 (Lijiang Tower)
Flashpoint: 3 vs 0 (Suravasa)
Push: 109.99m vs 111.77m (Esperanca)
Escort: 4 vs 5 (Gibraltar)
Hybrid: 4 vs 3 (Numbani)
Flashpoint: 1 vs 3 (New Junk City)"
