Stage,Match,Date,MVP,Map Result
Lower Bracket Quarterfinals,Virtus.pro (3) vs Gen.G Esports (1),"March 2, 2025 - 03:00 KST",JaeWoo,"Control: 2 vs 1 (Samoa)
Flashpoint: 3 vs 1 (Suravasa)
Push: 127.75m vs 127.76m (Esperança)
Escort: 3 vs 2 (Dorado)"
Lower Bracket Quarterfinals,Team Peps (0) vs Al Qadsiah (3),"March 2, 2025 - 04:30 KST",LBBD7,"Control: 0 vs 2 (Samoa)
Flashpoint: 0 vs 3 (Suravasa)
Escort: 2 vs 3 (Route 66)"
Lower Bracket Quarterfinals,Virtus.pro (3) vs Al Qadsiah (1),"March 9, 2025 - 04:35 KST",JaeWoo,"Control: 2 vs 1 (Samoa)
Push: 86.23m vs 139.49m (Esperança)
Escort: 3 vs 1 (Dorado)
Flashpoint: 3 vs 2 (Suravasa)"
Lower Bracket Quarterfinals,Gen.G Esports (0) vs Twisted Minds (3),"March 3, 2025 - 03:00 KST",Quartz,"Control: 0 vs 2 (Samoa)
Flashpoint: 0 vs 3 (Suravasa)
Escort: 0 vs 3 (Dorado)"
Lower Bracket Quarterfinals,Team Peps (1) vs The Ultimates (3),"March 3, 2025 - 04:00 KST",kevster,"Control: 1 vs 2 (Samoa)
Escort: 2 vs 0 (Route 66)
Flashpoint: 2 vs 3 (Suravasa)
Push: 51.19m vs 113.17m (Esperança)"
Lower Bracket Quarterfinals,Twisted Minds (0) vs The Ultimates (3),"March 9, 2025 - 03:30 KST",Kai,"Control: 0 vs 2 (Nepal)
Escort: 0 vs 2 (Route 66)
Flashpoint: 1 vs 3 (Suravasa)"
Lower Bracket Quarterfinals,Al Qadsiah (3) vs The Ultimates (0),"March 10, 2025 - 03:30 KST",CheckMate,"Control: 2 vs 1 (Samoa)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 3 vs 2 (Havana)"
Lower Bracket Quarterfinals,Virtus.pro (4) vs Al Qadsiah (2),"March 10, 2025 - 05:00 KST",Vestola,"Control: 2 vs 1 (Lijiang Tower)
Flashpoint: 0 vs 3 (Suravasa)
Escort: 2 vs 1 (Dorado)
Push: 68m vs 142.41m (Esperança)
Hybrid: 3 vs 1 (Eichenwalde)
Control: 2 vs 0 (Samoa)"
Unknown Group,Gen.G (Gen.G) vs VP (1),"February 1, 2025 - 03:15 KST",JaeWoo,"Control: 1 vs 2 (Samoa)
Escort: 2 vs 3 (Dorado)
Flashpoint: 3 vs 2 (Suravasa)
Push: 0m vs 142.41m (Esperança)"
Unknown Group,PEPS (PEPS) vs QAD (3),"February 1, 2025 - 04:45 KST",eisgnom,"Control: 2 vs 0 (Samoa)
Push: 124.87m vs 37.48m (Esperança)
Flashpoint: 3 vs 1 (Suravasa)"
Unknown Group,SAK (SAK) vs ULT (1),"February 1, 2025 - 05:55 KST",kevster,"Control: 2 vs 1 (Samoa)
Escort: 2 vs 3 (Dorado)
Push: 59.49m vs 91.96m (Colosseo)
Flashpoint: 0 vs 3 (Suravasa)"
Unknown Group,QAD (QAD) vs VSN (3),"February 2, 2025 - 03:05 KST",Tred,"Control: 2 vs 1 (Samoa)
Hybrid: 2 vs 1 (Blizzard World)
Escort: 1 vs 3 (Dorado)
Push: 97.03m vs 97.04m (Esperança)
Control: 2 vs 1 (Lijiang Tower)"
Unknown Group,Gen.G (Gen.G) vs TM (3),"February 2, 2025 - 05:15 KST",Mag,"Control: 2 vs 0 (Samoa)
Push: 71.8m vs 71.81m (Colosseo)
Flashpoint: 3 vs 0 (Suravasa)
Escort: 3 vs 2 (Dorado)"
Unknown Group,SAK (SAK) vs VSN (2),"February 3, 2025 - 03:00 KST",Simple,"Control: 2 vs 0 (Samoa)
Hybrid: 1 vs 2 (Blizzard World)
Push: 101.17m vs 56.36m (Colosseo)
Escort: 0 vs 3 (Havana)
Control: 0 vs 2 (Lijiang Tower)"
Unknown Group,ULT (ULT) vs VP (0),"February 3, 2025 - 04:45 KST",Vestola,"Control: 0 vs 2 (Samoa)
Escort: 2 vs 3 (Dorado)
Flashpoint: 1 vs 3 (Suravasa)"
Unknown Group,SAK (SAK) vs Gen.G (0),"February 8, 2025 - 03:05 KST",Mag,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 0 vs 1 (Numbani)
Push: 16.07m vs 139.62m (Colosseo)"
Unknown Group,ULT (ULT) vs VSN (3),"February 8, 2025 - 04:05 KST",Chase,"Control: 2 vs 0 (Lijiang Tower)
Escort: 0 vs 2 (Havana)
Flashpoint: 3 vs 0 (Suravasa)
Push: 127.65m vs 79.71m (Colosseo)"
Unknown Group,QAD (QAD) vs TM (3),"February 8, 2025 - 05:25 KST",CheckMate,"Control: 2 vs 1 (Samoa)
Flashpoint: 3 vs 0 (Suravasa)
Escort: 3 vs 4 (Route 66)
Push: 116.19m vs 97.61m (Esperança)"
Unknown Group,VP (VP) vs SAK (3),"February 9, 2025 - 03:00 KST",JaeWoo,"Control: 2 vs 0 (Nepal)
Push: 142.41m vs 27.56m (Esperança)
Hybrid: 2 vs 1 (Eichenwalde)"
Unknown Group,PEPS (PEPS) vs TM (1),"February 9, 2025 - 03:55 KST",TVNT,"Control: 0 vs 2 (Lijiang Tower)
Flashpoint: 3 vs 2 (Suravasa)
Push: 79.22m vs 139.62m (Colosseo)
Escort: 0 vs 1 (Havana)"
Unknown Group,VSN (VSN) vs PEPS (1),"February 10, 2025 - 03:00 KST",FDGod,"Control: 2 vs 1 (Samoa)
Flashpoint: 1 vs 3 (Suravasa)
Escort: 0 vs 1 (Havana)
Push: 76.07m vs 122.44m (Esperança)"
Unknown Group,Gen.G (Gen.G) vs QAD (3),"February 10, 2025 - 04:40 KST",TOPDRAGON,"Control: 2 vs 0 (Lijiang Tower)
Flashpoint: 3 vs 0 (Suravasa)
Push: 108.32m vs 56.29m (Esperança)"
Unknown Group,SAK (SAK) vs TM (0),"February 15, 2025 - 03:10 KST",FunnyAstro,"Control: 0 vs 2 (Lijiang Tower)
Push: 0m vs 142.41m (Esperança)
Escort: 0 vs 3 (Route 66)"
Unknown Group,VSN (VSN) vs Gen.G (0),"February 15, 2025 - 04:10 KST",Mag,"Control: 1 vs 2 (Lijiang Tower)
Hybrid: 2 vs 3 (Blizzard World)
Escort: 1 vs 2 (Havana)"
