Stage,Match,Date,MVP,Map Result
Lower Bracket Quarterfinals,Al Qadsiah (3) vs The Ultimates (0),"June 22, 2025 - 02:05 KST",LBBD7,"Control: 2 vs 0 (Oasis)
Unknown: 1 vs 0 (Watchpoint: Gibraltar)
Flashpoint: 3 vs 1 (Suravasa)"
Lower Bracket Quarterfinals,Twisted Minds (3) vs Virtus.pro (0),"June 22, 2025 - 03:00 KST",Youbi,"Control: 2 vs 0 (Busan)
Escort: 1 vs 0 (Dorado)
Hybrid: 2 vs 1 (Midtown)"
Lower Bracket Quarterfinals,Al Qadsiah (3) vs Twisted Minds (2),"June 29, 2025 - 03:40 KST",Landon,"Control: 2 vs 0 (Oasis)
Escort: 3 vs 2 (Circuit Royal)
Hybrid: 0 vs 2 (King's Row)
Push: 37.35m vs 105.39m (Colosseo)
Flashpoint: 3 vs 0 (New Junk City)"
Lower Bracket Quarterfinals,The Ultimates (3) vs Gen.G Esports (1),"June 23, 2025 - 02:00 KST",kevster,"Control: 2 vs 0 (Busan)
Flashpoint: 0 vs 3 (New Junk City)
Escort: 3 vs 2 (Circuit Royal)
Push: 127.68m vs 63.18m (Runasapi)"
Lower Bracket Quarterfinals,Virtus.pro (3) vs Team Peps (0),"June 23, 2025 - 03:30 KST",sHockWave,"Control: 2 vs 1 (Busan)
Escort: 2 vs 1 (Circuit Royal)
Flashpoint: 3 vs 2 (Suravasa)"
Lower Bracket Quarterfinals,The Ultimates (1) vs Virtus.pro (3),"June 29, 2025 - 02:15 KST",JaeWoo,"Control: 0 vs 2 (Oasis)
Escort: 3 vs 1 (Dorado)
Hybrid: 1 vs 2 (Midtown)
Flashpoint: 0 vs 3 (Suravasa)"
Lower Bracket Quarterfinals,Twisted Minds (3) vs Virtus.pro (2),"June 30, 2025 - 02:10 KST",Simple,"Control: 2 vs 1 (Busan)
Flashpoint: 3 vs 0 (New Junk City)
Push: 51.13m vs 125.32m (Runasapi)
Escort: 1 vs 2 (Circuit Royal)
Hybrid: 4 vs 3 (King's Row)"
Lower Bracket Quarterfinals,Al Qadsiah (4) vs Twisted Minds (2),"June 30, 2025 - 04:20 KST",Landon,"Control: 2 vs 1 (Oasis)
Hybrid: 3 vs 2 (King's Row)
Escort: 1 vs 0 (Circuit Royal)
Flashpoint: 1 vs 3 (Suravasa)
Push: 84.53m vs 91.04m (Runasapi)
Flashpoint: 3 vs 0 (New Junk City)"
Unknown Group,Gen.G (Gen.G) vs ULT (0),"May 11, 2025 - 02:30 KST",Twilight,"Control: 1 vs 2 (Ilios)
Flashpoint: 1 vs 3 (Suravasa)
Push: 45.62m vs 144.86m (Runasapi)"
Unknown Group,QAD (QAD) vs TM (3),"May 11, 2025 - 04:10 KST",Landon,"Control: 2 vs 1 (Oasis)
Flashpoint: 3 vs 0 (New Junk City)
Hybrid: 3 vs 4 (King's Row)
Push: 54.54m vs 89.47m (Colosseo)
Escort: 3 vs 0 (Dorado)"
