Stage,Match,Date,MVP,Map Result
Unknown,Team Falcons (3) vs Old Ocean (1),"June 13, 2025 - 17:00 KST",MER1T,"Control: 2 vs 0 (Oasis)
Hybrid: 0 vs 1 (Midtown)
Push: 141.66m vs 44.85m (Runasapi)
Flashpoint: 3 vs 0 (Suravasa)"
Unknown,Poker Face (1) vs ONSIDE GAMING (3),"June 14, 2025 - 17:00 KST",Ado,"Control: 1 vs 2 (Oasis)
Push: 118.94m vs 122.75m (Runasapi)
Hybrid: 4 vs 3 (King's Row)
Flashpoint: 0 vs 3 (New Junk City)"
Unknown,Old Ocean (1) vs ONSIDE GAMING (3),"June 15, 2025 - 17:20 KST",Kilo,"Control: 0 vs 2 (Oasis)
Push: 103.23m vs 141.07m (Runasapi)
Escort: 3 vs 2 (Circuit Royal)
Flashpoint: 0 vs 3 (New Junk City)"
Third Place Match,ZETA DIVISION (4) vs ONSIDE GAMING (0),"June 20, 2025 - 17:00 KST",Flora,"Control: 2 vs 0 (Ilios)
Push: 134.17m vs 46.53m (Runasapi)
Flashpoint: 3 vs 2 (New Junk City)
Hybrid: 2 vs 1 (Hollywood)"
Third Place Match,T1 (4) vs ZETA DIVISION (0),"June 21, 2025 - 17:00 KST",D0NGHAK,"Control: 2 vs 0 (Ilios)
Flashpoint: 3 vs 2 (New Junk City)
Push: 126.79m vs 43.26m (Runasapi)
Escort: 2 vs 1 (Shambali Monastery)"
Third Place Match,Crazy Raccoon (4) vs Team Falcons (2),"June 20, 2025 - 18:55 KST",HeeSang,"Control: 0 vs 2 (Ilios)
Hybrid: 3 vs 2 (King's Row)
Flashpoint: 3 vs 1 (New Junk City)
Push: 122.16m vs 34.36m (Colosseo)
Escort: 2 vs 3 (Circuit Royal)
Escort: 2 vs 1 (Watchpoint: Gibraltar)"
Third Place Match,All Gamers Global (0) vs Crazy Raccoon (4),"June 21, 2025 - 18:55 KST",Shu,"Control: 1 vs 2 (Nepal)
Flashpoint: 2 vs 3 (New Junk City)
Escort: 3 vs 4 (Circuit Royal)
Hybrid: 1 vs 2 (Midtown)"
Third Place Match,T1 (2) vs Crazy Raccoon (4),"June 22, 2025 - 19:30 KST",HeeSang,"Control: 0 vs 2 (Ilios)
Escort: 3 vs 2 (Shambali Monastery)
Flashpoint: 2 vs 3 (Suravasa)
Push: 116.18m vs 99.28m (Runasapi)
Hybrid: 1 vs 3 (Midtown)
Escort: 1 vs 3 (Circuit Royal)"
Third Place Match,ZETA DIVISION (1) vs All Gamers Global (4),"June 22, 2025 - 17:10 KST",SeonJun,"Control: 0 vs 2 (Nepal)
Push: 87.7m vs 125.79m (Runasapi)
Flashpoint: 3 vs 1 (New Junk City)
Escort: 2 vs 3 (Circuit Royal)
Hybrid: 1 vs 2 (Hollywood)"
Unknown Group,CR (CR) vs OCN (3),"May 9, 2025 - 17:10 KST",LIP,"Control: 2 vs 0 (Busan)
Hybrid: 3 vs 1 (Hollywood)
Escort: 3 vs 1 (Circuit Royal)"
Unknown Group,FLC (FLC) vs T1 (3),"May 9, 2025 - 18:30 KST",MER1T,"Control: 1 vs 2 (Busan)
Push: 128.65m vs 82.38m (Runasapi)
Flashpoint: 2 vs 3 (Suravasa)
Escort: 4 vs 3 (Circuit Royal)
Hybrid: 3 vs 2 (Midtown)"
Unknown Group,VEC (VEC) vs ZETA (1),"May 9, 2025 - 21:05 KST",BERNAR,"Control: 0 vs 2 (Busan)
Flashpoint: 3 vs 1 (Suravasa)
Escort: 3 vs 4 (Circuit Royal)
Push: 75.93m vs 132.85m (Runasapi)"
Unknown Group,WAY (WAY) vs OSG (3),"May 10, 2025 - 17:10 KST",SeonJun,"Control: 2 vs 1 (Oasis)
Escort: 1 vs 0 (Dorado)
Hybrid: 3 vs 0 (Hollywood)"
Unknown Group,VEC (VEC) vs CR (0),"May 10, 2025 - 18:30 KST",LIP,"Control: 0 vs 2 (Ilios)
Escort: 1 vs 3 (Circuit Royal)
Hybrid: 0 vs 3 (Eichenwalde)"
Unknown Group,FLC (FLC) vs PF (3),"May 10, 2025 - 19:45 KST",Stalk3r,"Control: 2 vs 1 (Nepal)
Escort: 0 vs 1 (Shambali Monastery)
Push: 99.83m vs 87.91m (Runasapi)
Flashpoint: 3 vs 1 (Suravasa)"
Unknown Group,ZETA (ZETA) vs OSG (3),"May 11, 2025 - 17:10 KST",Pelican,"Control: 2 vs 0 (Ilios)
Escort: 3 vs 4 (Dorado)
Push: 144.86m vs 51.81m (Runasapi)
Hybrid: 1 vs 0 (Hollywood)"
Unknown Group,T1 (T1) vs WAY (0),"May 11, 2025 - 18:50 KST",Ade,"Control: 1 vs 2 (Ilios)
Push: 78.98m vs 119.03m (Runasapi)
Hybrid: 1 vs 2 (Midtown)"
Unknown Group,OCN (OCN) vs PF (3),"May 11, 2025 - 20:25 KST",Probe,"Control: 2 vs 1 (Ilios)
Escort: 4 vs 3 (Watchpoint: Gibraltar)
Flashpoint: 3 vs 1 (Suravasa)"
Unknown Group,AGG (AGG) vs VEC (3),"May 16, 2025 - 17:10 KST",Ade,"Control: 2 vs 0 (Nepal)
Flashpoint: 3 vs 2 (New Junk City)
Push: 65.89m vs 108.8m (Runasapi)
Escort: 3 vs 2 (Circuit Royal)"
Unknown Group,ZETA (ZETA) vs FLC (3),"May 16, 2025 - 19:00 KST",Pelican,"Control: 2 vs 1 (Oasis)
Escort: 2 vs 1 (Watchpoint: Gibraltar)
Push: 55.29m vs 143.98m (Runasapi)
Flashpoint: 3 vs 1 (New Junk City)"
Unknown Group,PF (PF) vs T1 (1),"May 16, 2025 - 20:40 KST",ZEST,"Control: 0 vs 2 (Nepal)
Push: 127.2m vs 125.73m (Runasapi)
Hybrid: 1 vs 3 (King's Row)
Flashpoint: 2 vs 3 (New Junk City)"
Unknown Group,OCN (OCN) vs AGG (2),"May 17, 2025 - 17:10 KST",Mealgaru,"Control: 2 vs 1 (Ilios)
Hybrid: 1 vs 2 (Hollywood)
Push: 77.15m vs 118.68m (Runasapi)
Flashpoint: 3 vs 1 (Suravasa)
Escort: 1 vs 2 (Circuit Royal)"
Unknown Group,OSG (OSG) vs CR (0),"May 17, 2025 - 19:30 KST",CH0R0NG,"Control: 0 vs 2 (Oasis)
Hybrid: 2 vs 3 (King's Row)
Escort: 1 vs 2 (Dorado)"
Unknown Group,PF (PF) vs VEC (3),"May 17, 2025 - 20:50 KST",HEISER,"Control: 0 vs 2 (Busan)
Escort: 1 vs 0 (Watchpoint: Gibraltar)
Unknown: 1 vs 2 (Midtown)
Push: 108.56m vs 67.8m (Runasapi)
Flashpoint: 3 vs 1 (New Junk City)"
Unknown Group,OCN (OCN) vs ZETA (1),"May 18, 2025 - 17:00 KST",Flora,"Control: 0 vs 2 (Nepal)
Flashpoint: 3 vs 1 (Suravasa)
Hybrid: 1 vs 3 (Midtown)
Push: 38.6m vs 141.07m (Runasapi)"
Unknown Group,T1 (T1) vs CR (3),"May 18, 2025 - 19:00 KST",D0NGHAK,"Control: 0 vs 2 (Oasis)
Flashpoint: 3 vs 2 (Suravasa)
Push: 66.43m vs 61.51m (Colosseo)
Escort: 1 vs 0 (Watchpoint: Gibraltar)"
Unknown Group,FLC (FLC) vs OSG (3),"May 18, 2025 - 20:30 KST",Stalk3r,"Control: 2 vs 0 (Ilios)
Flashpoint: 3 vs 1 (Suravasa)
Push: 57.33m vs 120.58m (Colosseo)
Hybrid: 3 vs 1 (Eichenwalde)"
Unknown Group,OSG (OSG) vs OCN (1),"May 23, 2025 - 17:10 KST",Becky,"Control: 0 vs 2 (Nepal)
Escort: 0 vs 1 (Watchpoint: Gibraltar)
Push: 88.58m vs 21.06m (Colosseo)
Flashpoint: 0 vs 3 (Suravasa)"
Unknown Group,AGG (AGG) vs FLC (3),"May 23, 2025 - 19:30 KST",Ade,"Control: 2 vs 0 (Busan)
Hybrid: 2 vs 1 (Midtown)
Push: 144.86m vs 55.99m (Runasapi)"
Unknown Group,PF (PF) vs CR (0),"May 23, 2025 - 20:50 KST",HeeSang,"Control: 1 vs 2 (Oasis)
Escort: 0 vs 3 (Shambali Monastery)
Hybrid: 3 vs 4 (Eichenwalde)"
Unknown Group,OSG (OSG) vs VEC (3),"May 24, 2025 - 17:10 KST",Ado,"Control: 0 vs 2 (Oasis)
Push: 120.73m vs 103.03m (Colosseo)
Escort: 2 vs 3 (Circuit Royal)
Flashpoint: 3 vs 1 (Suravasa)
Hybrid: 3 vs 0 (Hollywood)"
Unknown Group,T1 (T1) vs ZETA (3),"May 24, 2025 - 19:25 KST",ZEST,"Control: 0 vs 2 (Oasis)
Flashpoint: 3 vs 2 (Suravasa)
Push: 83.49m vs 93.65m (Runasapi)
Escort: 3 vs 2 (Watchpoint: Gibraltar)
Hybrid: 2 vs 1 (Hollywood)"
Unknown Group,OCN (OCN) vs FLC (0),"May 24, 2025 - 21:30 KST",Stalk3r,"Control: 0 vs 2 (Oasis)
Flashpoint: 0 vs 3 (Suravasa)
Hybrid: 0 vs 3 (Hollywood)"
Unknown Group,VEC (VEC) vs T1 (0),"May 25, 2025 - 17:00 KST",Proud,"Control: 0 vs 2 (Ilios)
Escort: 0 vs 3 (Circuit Royal)
Push: 58.67m vs 71.39m (Runasapi)"
Unknown Group,CR (CR) vs AGG (3),"May 25, 2025 - 18:20 KST",HeeSang,"Control: 2 vs 0 (Nepal)
Push: 134.84m vs 53.39m (Runasapi)
Escort: 1 vs 2 (Circuit Royal)
Flashpoint: 3 vs 2 (Suravasa)"
Unknown Group,ZETA (ZETA) vs PF (3),"May 25, 2025 - 20:20 KST",Pelican,"Control: 1 vs 2 (Ilios)
Flashpoint: 3 vs 0 (New Junk City)
Push: 107.48m vs 100.42m (Runasapi)
Hybrid: 3 vs 2 (Eichenwalde)"
Unknown Group,AGG (AGG) vs PF (1),"May 30, 2025 - 17:10 KST",SP1NT,"Control: 0 vs 2 (Oasis)
Escort: 3 vs 1 (Circuit Royal)
Flashpoint: 1 vs 3 (Suravasa)
Hybrid: 1 vs 2 (Hollywood)"
Unknown Group,CR (CR) vs ZETA (3),"May 30, 2025 - 18:50 KST",HeeSang,"Control: 2 vs 1 (Nepal)
Flashpoint: 3 vs 1 (New Junk City)
Escort: 3 vs 1 (Shambali Monastery)"
Unknown Group,FLC (FLC) vs VEC (3),"May 30, 2025 - 20:20 KST",MER1T,"Control: 2 vs 1 (Nepal)
Flashpoint: 3 vs 0 (Suravasa)
Escort: 3 vs 1 (Circuit Royal)"
Unknown Group,T1 (T1) vs OCN (3),"May 31, 2025 - 17:10 KST",Proud,"Control: 2 vs 0 (Busan)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 3 vs 2 (Circuit Royal)"
Unknown Group,ZETA (ZETA) vs AGG (0),"May 31, 2025 - 18:40 KST",SeonJun,"Control: 0 vs 2 (Busan)
Flashpoint: 1 vs 3 (New Junk City)
Push: 27.38m vs 144.86m (Runasapi)"
Unknown Group,PF (PF) vs OSG (3),"May 31, 2025 - 19:50 KST",HEISER,"Control: 0 vs 2 (Busan)
Push: 140.26m vs 86.45m (Runasapi)
Flashpoint: 1 vs 3 (Suravasa)
Escort: 2 vs 1 (Dorado)
Hybrid: 3 vs 2 (King's Row)"
Unknown Group,VEC (VEC) vs OCN (0),"June 1, 2025 - 17:10 KST",Gur3um,"Control: 1 vs 2 (Oasis)
Push: 39.01m vs 144.86m (Runasapi)
Flashpoint: 1 vs 3 (Suravasa)"
Unknown Group,CR (CR) vs FLC (3),"June 1, 2025 - 18:35 KST",Shu,"Control: 2 vs 0 (Ilios)
Flashpoint: 3 vs 2 (New Junk City)
Push: 144.86m vs 9.31m (Runasapi)"
Unknown Group,OSG (OSG) vs T1 (0),"June 1, 2025 - 20:00 KST",Viper,"Control: 0 vs 2 (Nepal)
Push: 62.68m vs 139.62m (Colosseo)
Flashpoint: 0 vs 3 (Suravasa)"
