Stage,Match,Date,MVP,Map Result
Lower Bracket Quarterfinals,Spacestation (3) vs Timeless (0),"March 2, 2025 - 05:40 KST",seeker,"Control: 2 vs 0 (Nepal)
Flashpoint: 3 vs 1 (Suravasa)
Push: 119.32m vs 37.28m (Esperança)"
Lower Bracket Quarterfinals,NTMR (1) vs Team Liquid (3),"March 2, 2025 - 06:40 KST",TR33,"Control: 0 vs 2 (Nepal)
Flashpoint: 3 vs 1 (Suravasa)
Escort: 2 vs 3 (Havana)
Push: 91.67m vs 128.33m (Esperança)"
Lower Bracket Quarterfinals,Spacestation (3) vs Team Liquid (2),"March 9, 2025 - 07:40 KST",sugarfree,"Control: 2 vs 0 (Nepal)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 1 vs 2 (Route 66)
Push: 45.86m vs 112.58m (Esperança)
Escort: 1 vs 0 (Dorado)"
Lower Bracket Quarterfinals,Timeless (3) vs Avidity (1),"March 3, 2025 - 05:45 KST",Lukemino,"Control: 2 vs 0 (Lijiang Tower)
Escort: 1 vs 0 (Havana)
Push: 62.04m vs 102.26m (Esperança)
Flashpoint: 3 vs 0 (Suravasa)"
Lower Bracket Quarterfinals,NTMR (3) vs Rad Esports (0),"March 3, 2025 - 07:00 KST",zeruhh,"Control: 2 vs 1 (Nepal)
Flashpoint: 3 vs 0 (Suravasa)
Escort: 3 vs 2 (Havana)"
Lower Bracket Quarterfinals,Timeless (1) vs NTMR (3),"March 9, 2025 - 06:15 KST",UltraViolet,"Control: 0 vs 2 (Samoa)
Escort: 2 vs 3 (Dorado)
Flashpoint: 3 vs 1 (Suravasa)
Push: 79.54m vs 79.55m (Esperança)"
Lower Bracket Quarterfinals,Team Liquid (2) vs NTMR (3),"March 10, 2025 - 07:20 KST",cuFFa,"Control: 2 vs 0 (Lijiang Tower)
Flashpoint: 1 vs 3 (Suravasa)
Escort: 0 vs 1 (Havana)
Push: 125.52m vs 42.54m (Esperança)
Control: 0 vs 2 (Nepal)"
Lower Bracket Quarterfinals,Spacestation (2) vs NTMR (4),"March 10, 2025 - 09:40 KST",zeruhh,"Control: 2 vs 1 (Nepal)
Escort: 2 vs 3 (Route 66)
Flashpoint: 0 vs 3 (Suravasa)
Push: 139.62m vs 66.43m (Colosseo)
Control: 0 vs 2 (Lijiang Tower)
Push: 77.41m vs 136.65m (Esperança)"
Unknown Group,TL (TL) vs TML (0),"February 1, 2025 - 07:40 KST",없음,"Control: 1 vs 2 (Samoa)
Hybrid: 3 vs 4 (Numbani)
Escort: 3 vs 4 (Route 66)"
Unknown Group,SSG (SSG) vs NTMR (3),"February 1, 2025 - 09:00 KST",sugarfree,"Control: 2 vs 0 (Lijiang Tower)
Flashpoint: 3 vs 0 (Suravasa)
Push: 96.69m vs 115.03m (Colosseo)
Escort: 2 vs 1 (Dorado)"
Unknown Group,AVD (AVD) vs AMP (3),"February 2, 2025 - 06:45 KST",xomba,"Control: 2 vs 1 (Samoa)
Escort: 2 vs 3 (Havana)
Hybrid: 1 vs 0 (Numbani)
Push: 124.83m vs 63m (Esperança)"
Unknown Group,RAD (RAD) vs SHI (3),"February 2, 2025 - 08:10 KST",Kronik,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 1 (Numbani)
Escort: 2 vs 1 (Route 66)"
Unknown Group,TML (TML) vs NTMR (2),"February 2, 2025 - 09:10 KST",zeruhh,"Control: 1 vs 2 (Samoa)
Flashpoint: 3 vs 0 (Suravasa)
Escort: 3 vs 1 (Dorado)
Push: 92.91m vs 115.41m (Esperança)
Escort: 0 vs 2 (Route 66)"
Unknown Group,SHI (SHI) vs AMP (3),"February 3, 2025 - 06:10 KST",Drunk,"Control: 2 vs 1 (Samoa)
Flashpoint: 1 vs 3 (Suravasa)
Escort: 2 vs 1 (Dorado)
Push: 138.48m vs 63.64m (Esperança)"
Unknown Group,SSG (SSG) vs TL (2),"February 3, 2025 - 07:45 KST",Drunk,"Control: 2 vs 0 (Nepal)
Escort: 0 vs 2 (Havana)
Flashpoint: 1 vs 3 (Suravasa)
Push: 142.41m vs 3.42m (Esperança)
Hybrid: 2 vs 3 (Blizzard World)"
Unknown Group,SHI (SHI) vs TML (0),"February 8, 2025 - 07:00 KST",Chopper,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 3 (Numbani)
Push: 84.86m vs 84.87m (Esperança)"
Unknown Group,AMP (AMP) vs SSG (1),"February 8, 2025 - 08:00 KST",seeker,"Control: 0 vs 2 (Lijiang Tower)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 0 vs 1 (Dorado)
Push: 37.03m vs 139.62m (Colosseo)"
Unknown Group,AMP (AMP) vs NTMR (0),"February 9, 2025 - 05:25 KST",UltraViolet,"Control: 0 vs 2 (Lijiang Tower)
Escort: 3 vs 4 (Havana)
Flashpoint: 1 vs 3 (Suravasa)"
Unknown Group,AVD (AVD) vs SSG (0),"February 9, 2025 - 06:40 KST",Kellan,"Control: 1 vs 2 (Lijiang Tower)
Flashpoint: 1 vs 3 (Suravasa)
Push: 34.52m vs 142.41m (Esperança)"
Unknown Group,RAD (RAD) vs TL (0),"February 9, 2025 - 07:50 KST",Infekted,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 2 vs 3 (Eichenwalde)
Escort: 0 vs 3 (Dorado)"
Unknown Group,RAD (RAD) vs AVD (0),"February 10, 2025 - 05:45 KST",pela,"Control: 0 vs 2 (Samoa)
Hybrid: 1 vs 2 (Eichenwalde)
Escort: 1 vs 2 (Havana)"
Unknown Group,TL (TL) vs SHI (3),"February 10, 2025 - 06:55 KST",Infekted,"Control: 2 vs 0 (Lijiang Tower)
Flashpoint: 3 vs 0 (Suravasa)
Push: 142.41m vs 26.18m (Esperança)"
Unknown Group,NTMR (NTMR) vs AVD (3),"February 15, 2025 - 07:35 KST",Lethal,"Control: 2 vs 1 (Nepal)
Flashpoint: 3 vs 0 (Suravasa)
Escort: 3 vs 2 (Dorado)"
Unknown Group,TML (TML) vs AMP (3),"February 15, 2025 - 09:00 KST",Raikker,"Control: 0 vs 2 (Lijiang Tower)
Escort: 1 vs 0 (Dorado)
Flashpoint: 3 vs 0 (Suravasa)
Push: 142.41m vs 11.95m (Esperança)"
Unknown Group,NTMR (NTMR) vs SHI (3),"February 16, 2025 - 05:10 KST",zeruhh,"Control: 2 vs 0 (Nepal)
Push: 135.88m vs 67.33m (Esperança)
Flashpoint: 3 vs 0 (Suravasa)"
Unknown Group,TL (TL) vs AMP (3),"February 16, 2025 - 06:15 KST",Rupal,"Control: 2 vs 0 (Lijiang Tower)
Escort: 1 vs 0 (Havana)
Flashpoint: 3 vs 0 (Suravasa)"
Unknown Group,TML (TML) vs RAD (3),"February 16, 2025 - 07:05 KST",squid,"Control: 2 vs 0 (Samoa)
Escort: 3 vs 2 (Route 66)
Hybrid: 3 vs 2 (Eichenwalde)"
Unknown Group,AVD (AVD) vs SHI (3),"February 17, 2025 - 06:05 KST",pela,"Control: 2 vs 0 (Nepal)
Push: 142.41m vs 53.55m (Esperança)
Escort: 2 vs 1 (Dorado)"
Unknown Group,SSG (SSG) vs RAD (3),"February 17, 2025 - 07:05 KST",cjay,"Control: 2 vs 1 (Lijiang Tower)
Push: 60.06m vs 115.4m (Esperança)
Hybrid: 3 vs 2 (Numbani)
Escort: 2 vs 1 (Route 66)"
Unknown Group,TML (TML) vs AVD (3),"February 22, 2025 - 07:30 KST",Chopper,"Control: 1 vs 2 (Samoa)
Flashpoint: 3 vs 1 (Suravasa)
Push: 142.41m vs 19.75m (Esperança)
Escort: 3 vs 2 (Havana)"
Unknown Group,RAD (RAD) vs NTMR (1),"February 22, 2025 - 09:00 KST",UltraViolet,"Control: 2 vs 0 (Nepal)
Flashpoint: 0 vs 3 (Suravasa)
Push: 70.86m vs 141.21m (Esperança)
Escort: 2 vs 3 (Route 66)"
Unknown Group,AVD (AVD) vs TL (0),"February 23, 2025 - 06:30 KST",Infekted,"Control: 0 vs 2 (Lijiang Tower)
Push: 63.91m vs 103.69m (Colosseo)
Escort: 4 vs 5 (Havana)"
Unknown Group,RAD (RAD) vs AMP (3),"February 23, 2025 - 07:55 KST",Kronik,"Control: 2 vs 1 (Nepal)
Escort: 2 vs 1 (Havana)
Flashpoint: 3 vs 0 (Suravasa)"
Unknown Group,SHI (SHI) vs SSG (0),"February 23, 2025 - 09:00 KST",seeker,"Control: 0 vs 2 (Lijiang Tower)
Push: 91.8m vs 107.95m (Esperança)
Flashpoint: 0 vs 3 (Suravasa)"
Unknown Group,NTMR (NTMR) vs TL (3),"February 24, 2025 - 05:15 KST",zeruhh,"Control: 2 vs 0 (Nepal)
Escort: 3 vs 2 (Havana)
Hybrid: 3 vs 0 (Blizzard World)"
Unknown Group,SSG (SSG) vs TML (3),"February 24, 2025 - 06:30 KST",cjay,"Control: 2 vs 0 (Nepal)
Flashpoint: 3 vs 1 (Suravasa)
Push: 69.12m vs 72.48m (Esperança)
Escort: 2 vs 1 (Dorado)"
