Stage,Match,Date,MVP,Map Result
Group,TOR (TOR) vs WIG (3),"April 13, 2024 - 05:00 KST",없음,"Control: 2 vs 0 (Busan)
Hybrid: 1 vs 0 (Hollywood)
Push: 94.95m vs 40.99m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Route 66)"
Group,DHIL (DHIL) vs VIS (3),"April 13, 2024 - 06:30 KST",없음,"Control: 2 vs 1 (Oasis)
Hybrid: 4 vs 3 (Hollywood)
Push: 95.96m vs 82.91m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Rialto)"
Group,TOR (TOR) vs DHIL (3),"April 14, 2024 - 06:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 1 vs 0 (Hollywood)
Push: 142.41m vs 50.41m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Route 66)"
Group,WIG (WIG) vs VIS (3),"April 15, 2024 - 07:30 KST",없음,"Control: 2 vs 1 (Oasis)
Hybrid: 3 vs 1 (Eichenwalde)
Push: 105.55m vs 51.2m (Esperança)
: ? vs ? (New Junk City)
: ? vs ? (Route 66)"
Group,DHIL (DHIL) vs WIG (1),"April 21, 2024 - 08:50 KST",없음,"Control: 0 vs 2 (Oasis)
Hybrid: 2 vs 3 (Eichenwalde)
Push: 87.04m vs 47.81m (Esperança)
Flashpoint: 0 vs 3 (New Junk City)
: ? vs ? (Rialto)"
Group,TML (TML) vs DBK (3),"April 13, 2024 - 05:00 KST",없음,"Control: 2 vs 0 (Busan)
Hybrid: 3 vs 1 (Paraíso)
Push: 141.08m vs 65.63m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Rialto)"
Group,LG (LG) vs CN (3),"April 13, 2024 - 06:30 KST",없음,"Control: 2 vs 1 (Samoa)
Hybrid: 1 vs 2 (Eichenwalde)
Push: 134.06m vs 89.74m (Esperança)
Flashpoint: 3 vs 0 (New Junk City)
: ? vs ? (Route 66)"
Group,TML (TML) vs LG (2),"April 14, 2024 - 06:45 KST",없음,"Control: 1 vs 2 (Samoa)
Hybrid: 3 vs 1 (Eichenwalde)
Push: 48.79m vs 48.78m (Colosseo)
Flashpoint: 1 vs 3 (New Junk City)
Escort: 2 vs 3 (Shambali Monastery)"
Group,DBK (DBK) vs CN (0),"April 15, 2024 - 08:45 KST",없음,"Control: 0 vs 2 (Nepal)
Hybrid: 0 vs 2 (Paraíso)
Push: 28.45m vs 141.45m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Route 66)"
Group,TML (TML) vs CN (0),"April 22, 2024 - 06:00 KST",없음,"Control: 1 vs 2 (Oasis)
Hybrid: 1 vs 2 (Eichenwalde)
Push: 64.45m vs 112.65m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Rialto)"
Group,M80 (M80) vs UNC (3),"April 13, 2024 - 05:00 KST",없음,"Control: 2 vs 0 (Oasis)
Hybrid: 2 vs 1 (Hollywood)
Push: 73.23m vs 79.87m (New Queen Street)
Flashpoint: 3 vs 2 (Suravasa)
: ? vs ? (Route 66)"
Group,PiP (PiP) vs SHI (3),"April 13, 2024 - 06:30 KST",없음,"Control: 2 vs 1 (Samoa)
Hybrid: 1 vs 0 (Midtown)
Push: 53.55m vs 103.37m (Esperança)
Flashpoint: 3 vs 0 (New Junk City)
: ? vs ? (Junkertown)"
Group,M80 (M80) vs PiP (3),"April 14, 2024 - 08:30 KST",없음,"Control: 2 vs 0 (Oasis)
Hybrid: 2 vs 0 (Midtown)
Push: 79.62m vs 79.63m (New Queen Street)
Flashpoint: 1 vs 3 (Suravasa)
Escort: 4 vs 3 (Junkertown)"
Group,UNC (UNC) vs SHI (3),"April 21, 2024 - 06:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 2 (Midtown)
Push: 80.49m vs 90.78m (Esperança)
Flashpoint: 3 vs 1 (Suravasa)
: ? vs ? (Route 66)"
Group,PiP (PiP) vs UNC (3),"April 22, 2024 - 07:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 5 vs 4 (Midtown)
Push: 79.43m vs 83.08m (Esperança)
Flashpoint: 3 vs 0 (Suravasa)
: ? vs ? (Shambali Monastery)"
