Stage,Match,Date,MVP,Map Result
Lower Bracket Round 1,Team Falcons (3) vs 99DIVINE (0),"September 27, 2024 - 15:00 KST",Hanbin,"Control: 2 vs 1 (Busan)
Push: 133.79m vs 62.91m (Runasapi)
Clash: 5 vs 0 (Throne of Anubis)"
Lower Bracket Round 1,Lazuli (0) vs Poker Face (3),"September 27, 2024 - 16:30 KST",ChoiSehwan,"Control: 0 vs 2 (Lijiang Tower)
Clash: 2 vs 5 (Hanaoka)
Hybrid: 0 vs 3 (Midtown)"
Lower Bracket Round 1,Team Falcons (3) vs Poker Face (1),"September 28, 2024 - 15:00 KST",Proper,"Control: 2 vs 0 (Ilios)
Push: 40.31m vs 121.92m (New Queen Street)
Hybrid: 3 vs 2 (King's Row)
Escort: 3 vs 2 (Watchpoint: Gibraltar)"
Lower Bracket Round 1,Crazy Raccoon (3) vs Bleed Esports (0),"September 27, 2024 - 18:00 KST",HeeSang,"Control: 2 vs 0 (Lijiang Tower)
Flashpoint: 3 vs 1 (New Junk City)
Push: 86.01m vs 61.3m (Colosseo)"
Lower Bracket Round 1,Nyam Gaming (0) vs ZETA DIVISION (3),"September 27, 2024 - 19:30 KST",Pelican,"Control: 0 vs 2 (Lijiang Tower)
Push: 77.96m vs 119.84m (Runasapi)
Flashpoint: 0 vs 3 (New Junk City)"
Lower Bracket Round 1,Crazy Raccoon (3) vs ZETA DIVISION (1),"September 28, 2024 - 16:30 KST",LIP,"Control: 1 vs 2 (Nepal)
Escort: 3 vs 1 (Watchpoint: Gibraltar)
Push: 131.14m vs 74.94m (Runasapi)
Hybrid: 3 vs 3 (King's Row)
Clash: 5 vs 3 (Hanaoka)"
Lower Bracket Round 1,Team Falcons (2) vs Crazy Raccoon (3),"September 29, 2024 - 18:00 KST",HeeSang,"Control: 0 vs 2 (Lijiang Tower)
Push: 144.86m vs 35.14m (Runasapi)
Escort: 1 vs 0 (Watchpoint: Gibraltar)
Flashpoint: 2 vs 3 (Suravasa)
Hybrid: 0 vs 1 (King's Row)"
Lower Bracket Round 1,99DIVINE (3) vs Lazuli (2),"September 28, 2024 - 18:00 KST",R3K,"Control: 2 vs 1 (Nepal)
Push: 92.22m vs 92.23m (Runasapi)
Flashpoint: 3 vs 0 (New Junk City)
Hybrid: 3 vs 4 (King's Row)
Escort: 2 vs 0 (Watchpoint: Gibraltar)"
Lower Bracket Round 1,ZETA DIVISION (3) vs 99DIVINE (0),"September 29, 2024 - 15:00 KST",BERNAR,"Control: 2 vs 0 (Ilios)
Flashpoint: 3 vs 0 (New Junk City)
Escort: 2 vs 0 (Watchpoint: Gibraltar)"
Lower Bracket Round 1,Bleed Esports (3) vs Nyam Gaming (0),"September 28, 2024 - 19:30 KST",MAKA,"Control: 2 vs 1 (Lijiang Tower)
Push: 144.86m vs 7.64m (Runasapi)
Hybrid: 2 vs 1 (King's Row)"
Lower Bracket Round 1,Poker Face (3) vs Bleed Esports (0),"September 29, 2024 - 16:30 KST",Proud,"Control: 2 vs 1 (Busan)
Flashpoint: 3 vs 1 (New Junk City)
Push: 139.62m vs 18.91m (Colosseo)"
Lower Bracket Round 1,ZETA DIVISION (3) vs Poker Face (1),"September 29, 2024 - 20:00 KST",AlphaYi,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 1 (Blizzard World)
Escort: 3 vs 4 (Watchpoint: Gibraltar)
Flashpoint: 3 vs 1 (Suravasa)"
Lower Bracket Round 1,Team Falcons (3) vs ZETA DIVISION (2),"October 5, 2024 - 17:00 KST",Stalk3r,"Control: 2 vs 1 (Nepal)
Hybrid: 0 vs 3 (King's Row)
Flashpoint: 3 vs 2 (New Junk City)
Push: 101.22m vs 111.28m (Runasapi)
Escort: 4 vs 3 (Rialto)"
Lower Bracket Round 1,Crazy Raccoon (3) vs Team Falcons (4),"October 5, 2024 - 19:40 KST",Proper,"Control: 0 vs 2 (Lijiang Tower)
Escort: 3 vs 1 (Watchpoint: Gibraltar)
Push: 76.92m vs 119.84m (Runasapi)
Flashpoint: 3 vs 0 (Suravasa)
Hybrid: 3 vs 2 (King's Row)
Flashpoint: 2 vs 3 (New Junk City)
Control: 1 vs 2 (Ilios)"
