Stage,Match,Date,MVP,Map Result
Unknown,Inferno (3) vs REVATI (0),"June 9, 2025 - 22:10 KST",SWOO,"Control: 2 vs 1 (Nepal)
Escort: 5 vs 4 (Circuit Royal)
Push: 124.61m vs 117.4m (Runasapi)"
Unknown,Lazuli (3) vs JKOT (0),"June 10, 2025 - 20:50 KST",Undersea,"Control: 2 vs 0 (Nepal)
Escort: 3 vs 2 (Circuit Royal)
Push: 142.65m vs 44.04m (Runasapi)"
Unknown,REVATI (1) vs Lazuli (3),"June 11, 2025 - 18:00 KST",NewJ,"Control: 0 vs 2 (Busan)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 1 vs 3 (Circuit Royal)
Hybrid: 2 vs 3 (King's Row)"
Unknown,Please Not Hero Ban (4) vs Inferno (1),"June 16, 2025 - 20:00 KST",GACHAPIN,"Control: 0 vs 2 (Oasis)
Escort: 3 vs 1 (Circuit Royal)
Flashpoint: 3 vs 1 (New Junk City)
Push: 144.86m vs 92.34m (Runasapi)
Hybrid: 3 vs 2 (King's Row)"
Unknown,VARREL (4) vs Please Not Hero Ban (0),"June 17, 2025 - 18:30 KST",KSG,"Control: 2 vs 0 (Nepal)
Flashpoint: 3 vs 0 (Suravasa)
Push: 144.86m vs 5.68m (Runasapi)
Escort: 3 vs 0 (Gibraltar)"
Unknown,Aplomb Tiger (4) vs Lazuli (0),"June 16, 2025 - 18:10 KST",Daisy,"Control: 2 vs 1 (Ilios)
Push: 73.4m vs 73.39m (Runasapi)
Escort: 3 vs 2 (Circuit Royal)
Flashpoint: 3 vs 0 (Suravasa)"
Unknown,REJECT (4) vs Aplomb Tiger (0),"June 17, 2025 - 20:10 KST",Edison,"Control: 2 vs 0 (Busan)
Hybrid: 3 vs 1 (Midtown)
Push: 126.11m vs 109.52m (Runasapi)
Flashpoint: 3 vs 1 (Suravasa)"
Unknown,VARREL (4) vs REJECT (0),"June 22, 2025 - 13:15 KST",Nico,"Control: 2 vs 1 (Nepal)
Push: 70.68m vs 70.67m (Colosseo)
Flashpoint: 3 vs 1 (New Junk City)
Escort: 3 vs 1 (Circuit Royal)"
Unknown Group,REV (REV) vs ZG (3),"May 12, 2025 - 18:20 KST",K4ne,"Control: 2 vs 0 (Busan)
Hybrid: 3 vs 2 (King's Row)
Push: 124.02m vs 55.53m (Runasapi)"
Unknown Group,VL (VL) vs NG (3),"May 12, 2025 - 20:00 KST",Nico,"Control: 2 vs 0 (Ilios)
Escort: 3 vs 2 (Circuit Royal)
Hybrid: 3 vs 1 (Eichenwalde)"
Unknown Group,REJ (REJ) vs ARP (3),"May 12, 2025 - 21:35 KST",Edison,"Control: 2 vs 0 (Busan)
Flashpoint: 3 vs 0 (New Junk City)
Push: 125.63m vs 49.64m (Colosseo)"
Unknown Group,PNHB (PNHB) vs REJ (0),"May 13, 2025 - 18:15 KST",Edison,"Control: 1 vs 2 (Oasis)
Escort: 1 vs 3 (Circuit Royal)
Flashpoint: 0 vs 3 (Suravasa)"
Unknown Group,NG (NG) vs INF (1),"May 13, 2025 - 19:45 KST",SWOO,"Control: 1 vs 2 (Ilios)
Hybrid: 4 vs 3 (King's Row)
Escort: 2 vs 3 (Dorado)
Flashpoint: 0 vs 3 (New Junk City)"
