Stage,Match,Date,MVP,Map Result
Lower Bracket Quarterfinals,Weibo Gaming (3) vs Milk Tea (0),"June 27, 2025 - 18:00 KST",Leave,"Control: 2 vs 0 (Ilios)
Escort: 3 vs 0 (Watchpoint: Gibraltar)
Hybrid: 1 vs 0 (King's Row)"
Lower Bracket Quarterfinals,Team CC (1) vs ROC Esports (3),"June 27, 2025 - 19:10 KST",Taejong,"Control: 2 vs 0 (Ilios)
Escort: 1 vs 3 (Circuit Royal)
Flashpoint: 1 vs 3 (Suravasa)
Push: 120.5m vs 123.75m (Runasapi)"
Lower Bracket Quarterfinals,Weibo Gaming (3) vs ROC Esports (1),"June 28, 2025 - 21:20 KST",shy,"Control: 2 vs 1 (Ilios)
Escort: 5 vs 4 (Circuit Royal)
Flashpoint: 2 vs 3 (Suravasa)
Push: 110.12m vs 89.45m (Runasapi)"
Lower Bracket Quarterfinals,Milk Tea (3) vs Little Sheep (1),"June 28, 2025 - 18:00 KST",Insane,"Control: 0 vs 2 (Busan)
Escort: 2 vs 1 (Dorado)
Push: 139.7m vs 122.91m (Runasapi)
Hybrid: 2 vs 1 (King's Row)"
Lower Bracket Quarterfinals,Team CC (3) vs ZONES (1),"June 28, 2025 - 19:30 KST",Pineapple,"Control: 2 vs 0 (Ilios)
Escort: 3 vs 4 (Circuit Royal)
Flashpoint: 3 vs 1 (Suravasa)
Push: 103.03m vs 78.39m (Runasapi)"
Lower Bracket Quarterfinals,Milk Tea (0) vs Team CC (3),"June 29, 2025 - 18:00 KST",Pineapple,"Control: 0 vs 2 (Ilios)
Escort: 3 vs 4 (Circuit Royal)
Flashpoint: 0 vs 3 (New Junk City)"
Lower Bracket Quarterfinals,ROC Esports (1) vs Team CC (3),"June 29, 2025 - 19:30 KST",Pineapple,"Control: 0 vs 2 (Busan)
Push: 77.28m vs 144.86m (Runasapi)
Escort: 3 vs 2 (Circuit Royal)
Flashpoint: 0 vs 3 (Suravasa)"
Lower Bracket Quarterfinals,Weibo Gaming (4) vs Team CC (1),"June 29, 2025 - 21:25 KST",shy,"Control: 1 vs 2 (Ilios)
Push: 144.86m vs 55.53m (Runasapi)
Flashpoint: 3 vs 1 (New Junk City)
Escort: 2 vs 1 (Dorado)
Hybrid: 2 vs ? (Midtown)"
Unknown Group,LS (LS) vs HE (3),"May 24, 2025 - 18:00 KST",Alphari,"Control: 1 vs 2 (Oasis)
Escort: 2 vs 1 (Circuit Royal)
Push: 33.05m vs 142.41m (Runasapi)
Hybrid: 5 vs 4 (Hollywood)
Flashpoint: 3 vs 0 (New Junk City)"
Unknown Group,CC (CC) vs ROC (3),"May 24, 2025 - 20:30 KST",BILIDENG,"Control: 2 vs 0 (Busan)
Push: 108.76m vs 60.72m (Runasapi)
Hybrid: 4 vs 5 (Hollywood)
Escort: 3 vs 1 (Circuit Royal)"
Unknown Group,XX (XX) vs ZONES (1),"May 24, 2025 - 22:30 KST",Pride,"Control: 2 vs 1 (Ilios)
Escort: 0 vs 1 (Dorado)
Push: 59.67m vs 78.19m (Colosseo)
Flashpoint: 2 vs 3 (New Junk City)"
Unknown Group,ROC (ROC) vs HE (3),"May 25, 2025 - 18:00 KST",Taejong,"Control: 2 vs 0 (Oasis)
Push: 144.86m vs 0m (Runasapi)
Escort: 3 vs 4 (Circuit Royal)
Hybrid: 3 vs 1 (Hollywood)"
Unknown Group,WBG (WBG) vs MT (3),"May 25, 2025 - 19:40 KST",shy,"Control: 2 vs 0 (Oasis)
Flashpoint: 3 vs 2 (Suravasa)
Escort: 3 vs 2 (Circuit Royal)"
Unknown Group,LS (LS) vs MT (1),"May 30, 2025 - 18:00 KST",Insane,"Control: 2 vs 1 (Ilios)
Flashpoint: 0 vs 3 (Suravasa)
Escort: 3 vs 5 (Circuit Royal)
Hybrid: 1 vs 2 (Hollywood)"
Unknown Group,CC (CC) vs XX (3),"May 30, 2025 - 20:00 KST",Pineapple,"Control: 2 vs 1 (Ilios)
Hybrid: 3 vs 2 (King's Row)
Flashpoint: 3 vs 1 (Suravasa)"
Unknown Group,WBG (WBG) vs ZONES (3),"May 31, 2025 - 18:00 KST",shy,"Control: 2 vs 0 (Ilios)
Escort: 3 vs 0 (Circuit Royal)
Push: 144.86m vs 0m (Runasapi)"
Unknown Group,CC (CC) vs LS (3),"May 31, 2025 - 19:20 KST",Farway2025,"Control: 2 vs 0 (Ilios)
Escort: 1 vs 0 (Circuit Royal)
Hybrid: 1 vs 0 (King's Row)"
Unknown Group,ROC (ROC) vs XX (3),"May 31, 2025 - 20:30 KST",Taejong,"Control: 2 vs 0 (Ilios)
Hybrid: 2 vs 1 (King's Row)
Flashpoint: 3 vs 0 (Suravasa)"
Unknown Group,ZONES (ZONES) vs MT (0),"June 1, 2025 - 18:00 KST",Insane,"Control: 1 vs 2 (Busan)
Flashpoint: 0 vs 3 (Suravasa)
Escort: 2 vs 3 (Dorado)"
Unknown Group,WBG (WBG) vs HE (3),"June 1, 2025 - 19:20 KST",guxue,"Control: 2 vs 0 (Busan)
Flashpoint: 3 vs 0 (Suravasa)
Escort: 3 vs 1 (Circuit Royal)"
Unknown Group,WBG (WBG) vs XX (3),"June 7, 2025 - 18:00 KST",guxue,"Control: 2 vs 0 (Ilios)
Escort: 3 vs 0 (Gibraltar)
Flashpoint: 3 vs 0 (New Junk City)"
Unknown Group,CC (CC) vs HE (3),"June 7, 2025 - 19:10 KST",Pineapple,"Control: 2 vs 0 (Ilios)
Hybrid: 4 vs 3 (Hollywood)
Push: 121.08m vs 64.94m (Colosseo)"
Unknown Group,ROC (ROC) vs MT (3),"June 7, 2025 - 20:35 KST",Taejong,"Control: 2 vs 0 (Ilios)
Escort: 3 vs 1 (Circuit Royal)
Flashpoint: 3 vs 1 (Suravasa)"
