Stage,Match,Date,MVP,Map Result
Unknown Group,TM (TM) vs AS.ST (3),"March 9, 2024 - 02:00 KST",없음,"Control: 2 vs 0 (Nepal)
Hybrid: 3 vs 0 (King's Row)
Push: 139.4m vs 15.41m (Colosseo)
: ? vs ? (Suravasa)
: ? vs ? (Circuit Royal)"
Unknown Group,PEPS (PEPS) vs NUA (3),"March 9, 2024 - 03:30 KST",없음,"Control: 2 vs 1 (Ilios)
Hybrid: 4 vs 3 (Blizzard World)
Push: 99.49m vs 79.96m (Esperança)
: ? vs ? (New Junk City)
: ? vs ? (Rialto)"
Unknown Group,TM (TM) vs PEPS (3),"March 10, 2024 - 02:00 KST",없음,"Control: 2 vs 0 (Samoa)
Hybrid: 3 vs 0 (King's Row)
Push: 107.78m vs 3.68m (Colosseo)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Unknown Group,AS.ST (AS.ST) vs NUA (0),"March 11, 2024 - 02:30 KST",없음,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 2 vs 3 (Midtown)
Push: 55.94m vs 107.39m (New Queen Street)
: ? vs ? (Suravasa)
: ? vs ? (Rialto)"
Unknown Group,PEPS (PEPS) vs NUA (3),"March 17, 2024 - 04:00 KST",없음,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 0 vs 1 (Midtown)
Push: 93.68m vs 53.55m (Esperança)
Flashpoint: 3 vs 1 (New Junk City)
: ? vs ? (Shambali Monastery)"
Unknown Group,BSC (BSC) vs FLEX (3),"March 9, 2024 - 02:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 1 (King's Row)
Push: 128.09m vs 27.29m (New Queen Street)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Unknown Group,QUI (QUI) vs LRG (0),"March 9, 2024 - 03:30 KST",없음,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 2 (King's Row)
Push: 84.24m vs 86.73m (Esperança)
: ? vs ? (New Junk City)
: ? vs ? (Rialto)"
Unknown Group,BSC (BSC) vs LRG (3),"March 10, 2024 - 03:30 KST",없음,"Control: 2 vs 0 (Nepal)
: 3 vs 3 (Blizzard World)
Push: 110.78m vs 57.42m (New Queen Street)
Flashpoint: 3 vs 0 (New Junk City)
: ? vs ? (Shambali Monastery)"
Unknown Group,FLEX (FLEX) vs QUI (0),"March 11, 2024 - 04:00 KST",없음,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 1 vs 2 (Midtown)
Push: 26.74m vs 142.41m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Rialto)"
Unknown Group,LRG (LRG) vs QUI (0),"March 18, 2024 - 01:00 KST",없음,"Control: 0 vs 2 (Lijiang Tower)
Hybrid: 3 vs 4 (King's Row)
Push: 78.64m vs 87.59m (Colosseo)
: ? vs ? (New Junk City)
: ? vs ? (Rialto)"
Unknown Group,ROC (ROC) vs BNG (3),"March 9, 2024 - 02:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 2 vs 1 (King's Row)
Push: 142.41m vs 0m (Esperança)
: ? vs ? (Suravasa)
: ? vs ? (Rialto)"
Unknown Group,SC (SC) vs AY (3),"March 9, 2024 - 03:30 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 0 vs 3 (Hollywood)
Push: 62.01m vs 62.02m (Colosseo)
Flashpoint: 3 vs 1 (Suravasa)
Escort: 3 vs 2 (Shambali Monastery)"
Unknown Group,ROC (ROC) vs SC (3),"March 10, 2024 - 05:00 KST",없음,"Control: 2 vs 0 (Lijiang Tower)
Hybrid: 3 vs 2 (King's Row)
Push: 129.86m vs 46.91m (Colosseo)
: ? vs ? (Suravasa)
: ? vs ? (Circuit Royal)"
Unknown Group,BNG (BNG) vs AY (0),"March 17, 2024 - 01:00 KST",없음,"Control: 0 vs 2 (Nepal)
Hybrid: 1 vs 3 (Blizzard World)
Push: 64.04m vs 133.32m (Colosseo)
: ? vs ? (Suravasa)
: ? vs ? (Shambali Monastery)"
Unknown Group,SC (SC) vs AY (3),"March 18, 2024 - 02:30 KST",없음,"Control: 2 vs 1 (Lijiang Tower)
Hybrid: 4 vs 5 (King's Row)
Push: 56.16m vs 128.1m (Esperança)
Flashpoint: 3 vs 2 (New Junk City)
Escort: 4 vs 3 (Shambali Monastery)"
