Stage,Match,Date,MVP,Map Result
Unknown Group,T1 (T1) vs CR (0),"February 7, 2025 - 19:45 KST",Junbin,"Control: 0 vs 2 (Lijiang Tower)
Flashpoint: 0 vs 3 (Suravasa)
Hybrid: 0 vs 2 (Paraiso)"
Unknown Group,VEC (VEC) vs NE (1),"February 7, 2025 - 21:05 KST",MCD,"Control: 0 vs 2 (Antarctic Peninsula)
Push: 113.78m vs 95.37m (New Queen Street)
Hybrid: 1 vs 2 (Numbani)
Flashpoint: 2 vs 3 (Suravasa)"
Unknown Group,ZETA (ZETA) vs WAY (3),"February 8, 2025 - 17:00 KST",BERNAR,"Control: 2 vs 0 (Antarctic Peninsula)
Escort: 3 vs 0 (Route 66)
Flashpoint: 3 vs 1 (Suravasa)"
Unknown Group,VEC (VEC) vs PF (0),"February 8, 2025 - 18:55 KST",HEISER,"Control: 0 vs 2 (Oasis)
Escort: 1 vs 3 (Rialto)
Push: 61.7m vs 127.82m (New Queen Street)"
Unknown Group,NE (NE) vs CR (0),"February 8, 2025 - 20:15 KST",CH0R0NG,"Control: 0 vs 2 (Oasis)
Hybrid: 1 vs 3 (King's Row)
Escort: 0 vs 2 (Havana)"
Unknown Group,WAY (WAY) vs FTG (0),"February 9, 2025 - 17:00 KST",SeonJun,"Control: 1 vs 2 (Lijiang Tower)
Push: 107.58m vs 107.59m (New Queen Street)
Escort: 1 vs 2 (Watchpoint: Gibraltar)"
Unknown Group,FLC (FLC) vs T1 (3),"February 9, 2025 - 18:45 KST",ChiYo,"Control: 1 vs 2 (Antarctic Peninsula)
Flashpoint: 3 vs 2 (New Junk City)
Push: 101.05m vs 62.84m (Esperança)
Escort: 2 vs 3 (Watchpoint: Gibraltar)
Hybrid: 3 vs 2 (King's Row)"
Unknown Group,PF (PF) vs ZETA (0),"February 9, 2025 - 21:15 KST",FiNN,"Control: 0 vs 2 (Samoa)
Escort: 0 vs 1 (Watchpoint: Gibraltar)
Push: 36.98m vs 142.41m (Esperança)"
Unknown Group,CR (CR) vs PF (3),"February 14, 2025 - 17:00 KST",LIP,"Control: 0 vs 2 (Antarctic Peninsula)
Flashpoint: 3 vs 2 (Suravasa)
Hybrid: 3 vs 2 (King's Row)
Push: 136.91m vs 4.06m (Esperança)"
Unknown Group,T1 (T1) vs FTG (3),"February 14, 2025 - 19:05 KST",Proud,"Control: 2 vs 0 (Oasis)
Escort: 3 vs 1 (Watchpoint: Gibraltar)
Flashpoint: 2 vs 3 (New Junk City)
Push: 93.36m vs 35.72m (New Queen Street)"
Unknown Group,FLC (FLC) vs WAY (1),"February 14, 2025 - 20:55 KST",Ade,"Control: 0 vs 2 (Oasis)
Push: 140.41m vs 35.93m (Esperança)
Escort: 3 vs 4 (Route 66)
Hybrid: 4 vs 5 (Numbani)"
Unknown Group,ZETA (ZETA) vs NE (3),"February 15, 2025 - 17:00 KST",BERNAR,"Control: 2 vs 0 (Lijiang Tower)
Push: 139.62m vs 26.91m (Colosseo)
Escort: 3 vs 2 (Route 66)"
Unknown Group,FTG (FTG) vs VEC (3),"February 15, 2025 - 18:30 KST",Prophet,"Control: 2 vs 0 (Samoa)
Escort: 3 vs 0 (Rialto)
Flashpoint: 3 vs 0 (Suravasa)"
Unknown Group,WAY (WAY) vs T1 (3),"February 15, 2025 - 20:00 KST",Ade,"Control: 2 vs 1 (Samoa)
Flashpoint: 3 vs 1 (Suravasa)
Push: 67.53m vs 67.52m (Esperança)"
Unknown Group,PF (PF) vs NE (3),"February 16, 2025 - 17:00 KST",SP1NT,"Control: 1 vs 2 (Antarctic Peninsula)
Escort: 1 vs 0 (Watchpoint: Gibraltar)
Push: 142.41m vs 51.38m (Esperança)
Hybrid: 3 vs 1 (King's Row)"
Unknown Group,FLC (FLC) vs CR (2),"February 16, 2025 - 18:55 KST",LIP,"Control: 0 vs 2 (Samoa)
Push: 131.83m vs 125.15m (Esperança)
Hybrid: 1 vs 3 (Watchpoint: Gibraltar)
Flashpoint: 3 vs 1 (New Junk City)
Hybrid: 1 vs 3 (King's Row)"
Unknown Group,VEC (VEC) vs ZETA (0),"February 16, 2025 - 21:00 KST",Flora,"Control: 0 vs 2 (Oasis)
Flashpoint: 0 vs 3 (Suravasa)
Push: 4.47m vs 128.11m (New Queen Street)"
